region,parti,procent
0114 Upplands Väsby,Moderaterna,28.4
0114 Upplands Väsby,Centerpartiet,3.7
0114 Upplands Väsby,Folkpartiet,6.1
0114 Upplands Väsby,Kristdemokraterna,4.5
0114 Upplands Väsby,Miljöpartiet,6.8
0114 Upplands Väsby,Socialdemokraterna,30.3
0114 Upplands Väsby,Vänsterpartiet,5.8
0114 Upplands Väsby,Sverigedemokraterna,10.9
0114 Upplands Väsby,övriga partier,3.4
0114 Upplands Väsby,ogiltiga valsedlar,..
0114 Upplands Väsby,ej röstande,..
0115 Vallentuna,Moderaterna,36.3
0115 Vallentuna,Centerpartiet,6.8
0115 Vallentuna,Folkpartiet,7
0115 Vallentuna,Kristdemokraterna,4.9
0115 Vallentuna,Miljöpartiet,8.3
0115 Vallentuna,Socialdemokraterna,19.6
0115 Vallentuna,Vänsterpartiet,3.2
0115 Vallentuna,Sverigedemokraterna,10.3
0115 Vallentuna,övriga partier,3.6
0115 Vallentuna,ogiltiga valsedlar,..
0115 Vallentuna,ej röstande,..
0117 Österåker,Moderaterna,37.4
0117 Österåker,Centerpartiet,5.8
0117 Österåker,Folkpartiet,7.6
0117 Österåker,Kristdemokraterna,5.1
0117 Österåker,Miljöpartiet,7.8
0117 Österåker,Socialdemokraterna,20.4
0117 Österåker,Vänsterpartiet,3.5
0117 Österåker,Sverigedemokraterna,9.8
0117 Österåker,övriga partier,2.8
0117 Österåker,ogiltiga valsedlar,..
0117 Österåker,ej röstande,..
0120 Värmdö,Moderaterna,37.4
0120 Värmdö,Centerpartiet,5.4
0120 Värmdö,Folkpartiet,6.2
0120 Värmdö,Kristdemokraterna,4.3
0120 Värmdö,Miljöpartiet,8.3
0120 Värmdö,Socialdemokraterna,20.3
0120 Värmdö,Vänsterpartiet,3.7
0120 Värmdö,Sverigedemokraterna,10.4
0120 Värmdö,övriga partier,3.9
0120 Värmdö,ogiltiga valsedlar,..
0120 Värmdö,ej röstande,..
0123 Järfälla,Moderaterna,29
0123 Järfälla,Centerpartiet,4
0123 Järfälla,Folkpartiet,6.1
0123 Järfälla,Kristdemokraterna,5
0123 Järfälla,Miljöpartiet,7.7
0123 Järfälla,Socialdemokraterna,28.6
0123 Järfälla,Vänsterpartiet,5.9
0123 Järfälla,Sverigedemokraterna,10.2
0123 Järfälla,övriga partier,3.5
0123 Järfälla,ogiltiga valsedlar,..
0123 Järfälla,ej röstande,..
0125 Ekerö,Moderaterna,38.9
0125 Ekerö,Centerpartiet,7.1
0125 Ekerö,Folkpartiet,7.3
0125 Ekerö,Kristdemokraterna,6.3
0125 Ekerö,Miljöpartiet,8.3
0125 Ekerö,Socialdemokraterna,16.1
0125 Ekerö,Vänsterpartiet,3.2
0125 Ekerö,Sverigedemokraterna,9.3
0125 Ekerö,övriga partier,3.6
0125 Ekerö,ogiltiga valsedlar,..
0125 Ekerö,ej röstande,..
0126 Huddinge,Moderaterna,30.5
0126 Huddinge,Centerpartiet,4.2
0126 Huddinge,Folkpartiet,6
0126 Huddinge,Kristdemokraterna,4.1
0126 Huddinge,Miljöpartiet,8.5
0126 Huddinge,Socialdemokraterna,26.9
0126 Huddinge,Vänsterpartiet,5.4
0126 Huddinge,Sverigedemokraterna,10.4
0126 Huddinge,övriga partier,4
0126 Huddinge,ogiltiga valsedlar,..
0126 Huddinge,ej röstande,..
0127 Botkyrka,Moderaterna,22.1
0127 Botkyrka,Centerpartiet,2.7
0127 Botkyrka,Folkpartiet,4.8
0127 Botkyrka,Kristdemokraterna,5.7
0127 Botkyrka,Miljöpartiet,8.1
0127 Botkyrka,Socialdemokraterna,36.1
0127 Botkyrka,Vänsterpartiet,6.8
0127 Botkyrka,Sverigedemokraterna,10.3
0127 Botkyrka,övriga partier,3.4
0127 Botkyrka,ogiltiga valsedlar,..
0127 Botkyrka,ej röstande,..
0128 Salem,Moderaterna,30.7
0128 Salem,Centerpartiet,5.3
0128 Salem,Folkpartiet,6.9
0128 Salem,Kristdemokraterna,5.6
0128 Salem,Miljöpartiet,7.8
0128 Salem,Socialdemokraterna,24.9
0128 Salem,Vänsterpartiet,4.2
0128 Salem,Sverigedemokraterna,11.4
0128 Salem,övriga partier,3.2
0128 Salem,ogiltiga valsedlar,..
0128 Salem,ej röstande,..
0136 Haninge,Moderaterna,28.5
0136 Haninge,Centerpartiet,3.5
0136 Haninge,Folkpartiet,5.2
0136 Haninge,Kristdemokraterna,3.7
0136 Haninge,Miljöpartiet,7.5
0136 Haninge,Socialdemokraterna,30.4
0136 Haninge,Vänsterpartiet,5.1
0136 Haninge,Sverigedemokraterna,12.3
0136 Haninge,övriga partier,3.8
0136 Haninge,ogiltiga valsedlar,..
0136 Haninge,ej röstande,..
0138 Tyresö,Moderaterna,34.5
0138 Tyresö,Centerpartiet,4.6
0138 Tyresö,Folkpartiet,6.5
0138 Tyresö,Kristdemokraterna,4.6
0138 Tyresö,Miljöpartiet,8.4
0138 Tyresö,Socialdemokraterna,24
0138 Tyresö,Vänsterpartiet,4.3
0138 Tyresö,Sverigedemokraterna,9.6
0138 Tyresö,övriga partier,3.5
0138 Tyresö,ogiltiga valsedlar,..
0138 Tyresö,ej röstande,..
0139 Upplands-Bro,Moderaterna,27.3
0139 Upplands-Bro,Centerpartiet,4
0139 Upplands-Bro,Folkpartiet,6.7
0139 Upplands-Bro,Kristdemokraterna,5.7
0139 Upplands-Bro,Miljöpartiet,6.4
0139 Upplands-Bro,Socialdemokraterna,29.6
0139 Upplands-Bro,Vänsterpartiet,4.9
0139 Upplands-Bro,Sverigedemokraterna,12.3
0139 Upplands-Bro,övriga partier,3.1
0139 Upplands-Bro,ogiltiga valsedlar,..
0139 Upplands-Bro,ej röstande,..
0140 Nykvarn,Moderaterna,31.5
0140 Nykvarn,Centerpartiet,5.8
0140 Nykvarn,Folkpartiet,4.5
0140 Nykvarn,Kristdemokraterna,3.8
0140 Nykvarn,Miljöpartiet,5.6
0140 Nykvarn,Socialdemokraterna,26.3
0140 Nykvarn,Vänsterpartiet,2.5
0140 Nykvarn,Sverigedemokraterna,18
0140 Nykvarn,övriga partier,2
0140 Nykvarn,ogiltiga valsedlar,..
0140 Nykvarn,ej röstande,..
0160 Täby,Moderaterna,45.3
0160 Täby,Centerpartiet,6.4
0160 Täby,Folkpartiet,11.3
0160 Täby,Kristdemokraterna,7
0160 Täby,Miljöpartiet,6.1
0160 Täby,Socialdemokraterna,12.5
0160 Täby,Vänsterpartiet,2.2
0160 Täby,Sverigedemokraterna,6.4
0160 Täby,övriga partier,2.7
0160 Täby,ogiltiga valsedlar,..
0160 Täby,ej röstande,..
0162 Danderyd,Moderaterna,50
0162 Danderyd,Centerpartiet,7.1
