"Befolkning efter region, utbildningsnivå och år"

"region" "utbildningsnivå" "2002" "2006" "2010" "2014"
"0114 Upplands Väsby" "eftergymnasial utbildning, 3 år eller mer" 3471 3874 4419 5221
"0115 Vallentuna" "eftergymnasial utbildning, 3 år eller mer" 2553 3206 3843 4559
"0117 Österåker" "eftergymnasial utbildning, 3 år eller mer" 3686 4492 5011 5615
"0120 Värmdö" "eftergymnasial utbildning, 3 år eller mer" 3082 3976 4720 5569
"0123 Järfälla" "eftergymnasial utbildning, 3 år eller mer" 7068 7881 9009 10452
"0125 Ekerö" "eftergymnasial utbildning, 3 år eller mer" 2852 3376 3893 4421
"0126 Huddinge" "eftergymnasial utbildning, 3 år eller mer" 8694 10155 12795 15487
"0127 Botkyrka" "eftergymnasial utbildning, 3 år eller mer" 5702 6722 8023 9536
"0128 Salem" "eftergymnasial utbildning, 3 år eller mer" 1386 1665 1900 2198
"0136 Haninge" "eftergymnasial utbildning, 3 år eller mer" 5209 5959 6776 8143
"0138 Tyresö" "eftergymnasial utbildning, 3 år eller mer" 3955 4562 5219 6254
"0139 Upplands-Bro" "eftergymnasial utbildning, 3 år eller mer" 1764 2025 2520 2937
"0140 Nykvarn" "eftergymnasial utbildning, 3 år eller mer" 520 683 891 1027
"0160 Täby" "eftergymnasial utbildning, 3 år eller mer" 11008 11992 13442 15194
"0162 Danderyd" "eftergymnasial utbildning, 3 år eller mer" 7379 7860 8448 9153
"0163 Sollentuna" "eftergymnasial utbildning, 3 år eller mer" 9275 10585 12322 14363
"0180 Stockholm" "eftergymnasial utbildning, 3 år eller mer" 137444 160305 191585 223494
"0181 Södertälje" "eftergymnasial utbildning, 3 år eller mer" 6730 7679 8734 10116
"0182 Nacka" "eftergymnasial utbildning, 3 år eller mer" 12338 14929 17871 20438
"0183 Sundbyberg" "eftergymnasial utbildning, 3 år eller mer" 4731 5213 6520 8346
"0184 Solna" "eftergymnasial utbildning, 3 år eller mer" 10137 12749 16038 19384
"0186 Lidingö" "eftergymnasial utbildning, 3 år eller mer" 8375 9101 10030 11080
"0187 Vaxholm" "eftergymnasial utbildning, 3 år eller mer" 1396 1701 1946 2157
"0188 Norrtälje" "eftergymnasial utbildning, 3 år eller mer" 3467 4071 4663 5211
"0191 Sigtuna" "eftergymnasial utbildning, 3 år eller mer" 2853 3334 4047 4905
"0192 Nynäshamn" "eftergymnasial utbildning, 3 år eller mer" 1657 1864 2149 2457
"0305 Håbo" "eftergymnasial utbildning, 3 år eller mer" 1174 1403 1661 1880
