"Sammanräknad förvärvsinkomst, medianinkomst för boende i Sverige den 31/12, tkr efter region, ålder och år"

"region" "ålder" "2002" "2006" "2010" "2014"
"0114 Upplands Väsby" "totalt 20+ år" 212.5 229.1 251.6 272.7
"0115 Vallentuna" "totalt 20+ år" 216.1 240.5 274.6 306.0
"0117 Österåker" "totalt 20+ år" 216.8 240.2 271.1 296.4
"0120 Värmdö" "totalt 20+ år" 216.0 241.4 274.4 301.0
"0123 Järfälla" "totalt 20+ år" 217.4 235.2 257.2 275.7
"0125 Ekerö" "totalt 20+ år" 226.7 254.1 286.3 315.2
"0126 Huddinge" "totalt 20+ år" 207.0 225.4 247.8 271.6
"0127 Botkyrka" "totalt 20+ år" 182.1 196.4 213.3 232.4
"0128 Salem" "totalt 20+ år" 221.1 244.4 275.5 298.8
"0136 Haninge" "totalt 20+ år" 203.8 221.6 243.2 265.4
"0138 Tyresö" "totalt 20+ år" 221.7 243.1 271.2 298.9
"0139 Upplands-Bro" "totalt 20+ år" 208.0 225.7 250.2 273.8
"0140 Nykvarn" "totalt 20+ år" 222.0 251.4 282.5 310.6
"0160 Täby" "totalt 20+ år" 239.3 265.7 299.9 331.0
"0162 Danderyd" "totalt 20+ år" 245.4 278.6 311.4 343.5
"0163 Sollentuna" "totalt 20+ år" 227.0 250.2 279.3 306.5
"0180 Stockholm" "totalt 20+ år" 201.3 223.2 254.1 285.5
"0181 Södertälje" "totalt 20+ år" 190.0 205.2 216.0 233.8
"0182 Nacka" "totalt 20+ år" 222.5 249.0 281.1 314.3
"0183 Sundbyberg" "totalt 20+ år" 206.3 221.8 248.1 279.5
"0184 Solna" "totalt 20+ år" 205.1 226.4 257.4 294.2
"0186 Lidingö" "totalt 20+ år" 228.8 254.7 284.9 313.4
"0187 Vaxholm" "totalt 20+ år" 220.6 247.0 283.5 313.8
"0188 Norrtälje" "totalt 20+ år" 184.0 203.6 224.4 243.9
"0191 Sigtuna" "totalt 20+ år" 204.3 220.6 240.6 260.6
"0192 Nynäshamn" "totalt 20+ år" 199.0 214.7 235.6 256.6
"0305 Håbo" "totalt 20+ år" 217.5 239.8 266.2 290.5
"0319 Älvkarleby" "totalt 20+ år" 183.4 202.5 224.2 239.4
"0330 Knivsta" "totalt 20+ år" 216.8 244.4 277.2 311.5
"0331 Heby" "totalt 20+ år" 170.1 188.3 206.0 228.8
"0360 Tierp" "totalt 20+ år" 171.5 190.2 208.4 228.6
"0380 Uppsala" "totalt 20+ år" 188.5 208.0 230.2 257.6
"0381 Enköping" "totalt 20+ år" 186.3 207.7 233.4 258.3
"0382 Östhammar" "totalt 20+ år" 183.3 203.3 228.9 252.3
"0428 Vingåker" "totalt 20+ år" 178.0 196.5 215.8 229.0
"0461 Gnesta" "totalt 20+ år" 188.6 209.8 233.9 253.2
"0480 Nyköping" "totalt 20+ år" 186.9 209.8 233.5 256.3
"0481 Oxelösund" "totalt 20+ år" 196.2 213.3 233.1 244.2
"0482 Flen" "totalt 20+ år" 174.7 193.6 207.9 216.7
"0483 Katrineholm" "totalt 20+ år" 176.5 193.2 213.0 233.2
"0484 Eskilstuna" "totalt 20+ år" 176.6 200.2 216.4 233.0
"0486 Strängnäs" "totalt 20+ år" 195.7 217.3 244.7 266.3
"0488 Trosa" "totalt 20+ år" 206.0 232.6 261.5 279.1
